127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/js/calendar.js, HTTP/1.1, 200, 0.000236
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/js/web2py.js, HTTP/1.1, 200, 0.000289
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/css/web2py.css, HTTP/1.1, 200, 0.001171
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000750
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000575
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000467
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000253
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/js/share.js, HTTP/1.1, 200, 0.000277
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/images/twitter.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/images/facebook.png, HTTP/1.1, 200, 0.000321
127.0.0.1, 2015-02-12 19:58:32, GET, /csc503/static/images/gplus-32.png, HTTP/1.1, 200, 0.000281
127.0.0.1, 2015-02-12 19:58:34, GET, /csc503/default/user/register, HTTP/1.1, 200, 0.590220
127.0.0.1, 2015-02-12 19:58:42, POST, /csc503/default/user/register, HTTP/1.1, 303, 0.447329
127.0.0.1, 2015-02-12 19:58:42, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.080806
127.0.0.1, 2015-02-12 19:58:42, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.164252
127.0.0.1, 2015-02-12 19:58:43, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.502909
127.0.0.1, 2015-02-12 19:58:49, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.370296
127.0.0.1, 2015-02-12 19:58:50, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.092632
127.0.0.1, 2015-02-12 19:58:50, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.366116
127.0.0.1, 2015-02-12 19:58:53, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.064782
127.0.0.1, 2015-02-12 19:58:53, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.057147
127.0.0.1, 2015-02-12 19:58:56, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.088858
127.0.0.1, 2015-02-12 19:58:57, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.144459
127.0.0.1, 2015-02-12 19:58:59, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.120092
127.0.0.1, 2015-02-12 19:59:00, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.121119
127.0.0.1, 2015-02-12 19:59:02, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.125735
127.0.0.1, 2015-02-12 19:59:04, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.059561
127.0.0.1, 2015-02-12 19:59:05, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.057293
127.0.0.1, 2015-02-12 19:59:07, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.082458
127.0.0.1, 2015-02-12 19:59:08, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.066021
127.0.0.1, 2015-02-12 19:59:17, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.088976
127.0.0.1, 2015-02-12 19:59:17, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.025318
127.0.0.1, 2015-02-12 19:59:19, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.024178
127.0.0.1, 2015-02-12 19:59:21, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.026336
127.0.0.1, 2015-02-12 19:59:22, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.025667
127.0.0.1, 2015-02-12 19:59:25, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.030811
127.0.0.1, 2015-02-12 19:59:25, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.026045
127.0.0.1, 2015-02-12 19:59:28, GET, /admin/default/design/csc503, HTTP/1.1, 200, 0.200515
127.0.0.1, 2015-02-12 19:59:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000476
127.0.0.1, 2015-02-12 19:59:30, GET, /csc503/plugin_cs_monitor/index, HTTP/1.1, 200, 0.030350
127.0.0.1, 2015-02-12 19:59:30, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.048714
127.0.0.1, 2015-02-12 19:59:30, GET, /csc503/plugin_cs_monitor/tasks, HTTP/1.1, 200, 0.069425
127.0.0.1, 2015-02-12 19:59:33, GET, /csc503/plugin_cs_monitor/workers, HTTP/1.1, 200, 0.023496
