2015-02-20 13:01:36,096 - INFO - log - ****SYSTEM INFORMATION****
2015-02-20 13:01:36,096 - INFO - log - Python version    : 2.7.3
2015-02-20 13:01:36,097 - INFO - log - compiler          : GCC 4.7.2
2015-02-20 13:01:36,097 - INFO - log - system            : Linux
2015-02-20 13:01:36,097 - INFO - log - release           : 3.2.0-4-686-pae
2015-02-20 13:01:36,097 - INFO - log - machine           : i686
2015-02-20 13:01:36,097 - INFO - log - cpu's             : 2
2015-02-20 13:01:36,097 - INFO - log - interpreter       : 32bit
2015-02-20 13:01:36,097 - INFO - log - node              : crunchbang
2015-02-20 13:01:36,097 - INFO - log - platform          : Linux-3.2.0-4-686-pae-i686-with-debian-7.8
2015-02-20 13:01:36,097 - INFO - log - main: START
2015-02-20 13:01:36,100 - INFO - log - ****Run serial****
2015-02-20 13:01:36,100 - INFO - log - input data       : 24
2015-02-20 13:01:36,101 - INFO - log - A: [0.10111580554889965, 0.37542351900249005, 0.23256805841394534, 0.4441486788004422, 0.6630121495674609, 0.8328331951744087, 0.5476473911798002, 0.026368451600313758, 0.5333362568530368, 0.22274846729419762, 0.4300496917462022, 0.08185729152013599, 0.9500961096348876, 0.7138250438333129, 0.4854615560357579, 0.36257140960773115, 0.2577770732364978, 0.6055344534287332, 0.34094990564875516, 0.035573382297543144, 0.6620413187092687, 0.18168122361933792, 0.2548392505032485, 0.24603413993362877]
2015-02-20 13:01:36,101 - INFO - log - B is: [0.0, 0.4184666544570217, 0.4564706595462587, 0.647171492542981, 0.6140103259291861, 0.4382813789429168, 0.5491723795719741, 0.13323901500281124, 0.49037352985517507, 0.16098343496272235, 0.6987534562461004, 0.40652172323228003, 0.7264593883908783, 0.5468787822760777, 0.38029987019168343, 0.4927334870737878, 0.30804404499818205, 0.3292344734186938, 0.5101761677345675, 0.11730785851399608, 0.4671208401618142, 1.0]
2015-02-20 13:01:36,203 - INFO - log - B is: [0.0, 0.14869090479578936, 0.30464811162135075, 0.35310341831318537, 0.5068163271576617, 0.4184494521680278, 0.6137486408512851, 0.4084856761052098, 0.660257016605986, 0.4096483440718762, 0.667648807100506, 0.4479507837246707, 0.6394745579059625, 0.4907128198044677, 0.5983627608969979, 0.5209389179281751, 0.601986694844787, 0.5879247596824981, 0.7043591306555711, 0.7568284380350842, 0.8967131135521046, 1.0]
2015-02-20 13:01:36,304 - INFO - log - B is: [0.0, 0.1219613576341572, 0.28165264747333285, 0.3093378949083936, 0.488104700479399, 0.4232813191229588, 0.6212412388324136, 0.4826708287997248, 0.6922926270873749, 0.5159767958923326, 0.7191565514276868, 0.5467911436397429, 0.724715693502563, 0.5897212787803368, 0.7360651635340001, 0.6563104930121306, 0.7783092998322206, 0.7558009002324451, 0.860161583308404, 0.8822140476928735, 0.9595874045042081, 1.0]
2015-02-20 13:01:36,396 - INFO - log - B is: [0.0, 0.12093902238514079, 0.27844097906368637, 0.313440899168493, 0.48849114896434653, 0.44707677472152396, 0.6346645873800341, 0.5351439828242698, 0.7270098370433662, 0.5953486904574979, 0.7811828273270188, 0.6461433516010036, 0.8164363156268277, 0.7029039359468441, 0.8513476139053278, 0.7746466752963241, 0.8973768527879831, 0.8603649742005609, 0.9519036389253139, 0.9452926035236487, 0.9942801763692398, 1.0]
2015-02-20 13:01:36,492 - INFO - log - B is: [0.0, 0.12558868168470083, 0.28171825711970433, 0.3294947547839955, 0.49860717569678903, 0.4792853556480511, 0.6573630788773313, 0.5875309599204213, 0.7680008731349044, 0.6685241774223549, 0.8436073281498009, 0.7363946257446539, 0.8983190615176408, 0.8022083438857145, 0.9437189941631103, 0.8707639953626645, 0.9844900284731627, 0.9378490464932094, 1.0148211048730043, 0.9888954868392412, 1.017294185679347, 1.0]
2015-02-20 13:01:36,623 - INFO - log - B is: [0.0, 0.13207125113846935, 0.28865996856608755, 0.34972141295968967, 0.5145954957930828, 0.515004732352172, 0.6856730185764208, 0.640014190297954, 0.8114387479063296, 0.7369653957670532, 0.9025947584158015, 0.8167872049604303, 0.9692940362430369, 0.8870280149752534, 1.0185549685714181, 0.9496166386832738, 1.051521846573989, 0.9991733817194128, 1.0615593522228088, 1.0225463070647824, 1.0340861935168153, 1.0]
2015-02-20 13:01:36,761 - INFO - log - B is: [0.0, 0.13920493962793373, 0.2976839801491335, 0.3713311097738666, 0.5337194199193225, 0.5514072986573257, 0.7163848962347648, 0.6908415406324604, 0.8545095468262942, 0.8002267225615876, 0.9568511435026394, 0.8881897889230017, 1.030758970966886, 0.9598871186450215, 1.0803928078947187, 1.0155237571838274, 1.1050196112646666, 1.0493745525448446, 1.0980096730446933, 1.0497324856642007, 1.04703161759426, 1.0]
2015-02-20 13:01:36,871 - INFO - log - B is: [0.0, 0.1464260254575637, 0.30766842105761016, 0.3928915119266722, 0.554053652698826, 0.5868240245960398, 0.7473637700536435, 0.7388057837474287, 0.8956414089486193, 0.8580911744405146, 1.0061350730824923, 0.9516459787958342, 1.084270933184629, 1.0230512683908484, 1.1324349712439041, 1.0715308624886661, 1.1489196166631686, 1.0914142399591433, 1.1274238499070663, 1.0722956101996213, 1.0573913189721311, 1.0]
2015-02-20 13:01:36,966 - INFO - log - B is: [0.0, 0.15342110456870392, 0.31786072957324707, 0.41360012273892555, 0.574350199360919, 0.6203227184486333, 0.7773236742403287, 0.783291821570341, 0.9340511631964348, 0.910638367301659, 1.0506196086516344, 1.0081084035547467, 1.1311377002336809, 1.078246630226511, 1.1768970252227218, 1.1197537166178728, 1.1857253573139817, 1.1272187713917574, 1.151775544936844, 1.091384781474026, 1.0659140251119095, 1.0]
2015-02-20 13:01:37,099 - INFO - log - B is: [0.0, 0.16001912099353433, 0.32779397732079507, 0.43302811113517614, 0.5938611559108626, 0.6514391656415757, 0.8055538026603742, 0.8240795027453469, 0.9694162522294263, 0.958125049475242, 1.0906316917437253, 1.0584044510133814, 1.1723964429918874, 1.1267747918005209, 1.2153328547549942, 1.1616918170647017, 1.2170971227422112, 1.1581047058457012, 1.1723343697459578, 1.1077693514057008, 1.0730746638693613, 1.0]
